id,company_id,period_end_date,period_type,fiscal_year,fiscal_quarter,currency,net_income,depreciation_amortization,stock_compensation,deferred_tax,change_accounts_receivable,change_inventory,change_accounts_payable,change_other_working_capital,operating_cash_flow,capital_expenditures,acquisitions,purchases_investments,sales_maturities_investments,other_investing_activities,investing_cash_flow,debt_issuance,debt_repayment,common_stock_issuance,common_stock_repurchase,dividends_paid,other_financing_activities,financing_cash_flow,net_change_cash,cash_beginning,cash_ending,free_cash_flow,fcf_per_share,created_at
57,1,2024-12-31,annual,2024,4,SEK,18295000000.0,7505000000.0,,,,-946000000.0,,-408000000.0,16801000000.0,-7396000000.0,,,,,9407000000.0,1397000000.0,-15004000000.0,-2224000000.0,,-5443000000.0,,-22336000000.0,,6927000000.0,10962000000.0,9405000000.0,,2025-08-12 15:23:49.645944
58,1,2023-12-31,annual,2023,4,SEK,15148000000.0,7998000000.0,,,,2505000000.0,,1085000000.0,21568000000.0,-6850000000.0,,,,,-7109000000.0,21163000000.0,-26509000000.0,0.0,,-5092000000.0,,-11551000000.0,,4288000000.0,6927000000.0,14718000000.0,,2025-08-12 15:23:49.646640
59,1,2022-12-31,annual,2022,4,SEK,8491000000.0,9012000000.0,,,,-4750000000.0,,-4224000000.0,12874000000.0,-5416000000.0,,,,,-14500000000.0,32546000000.0,-18539000000.0,0.0,,-4916000000.0,,1808000000.0,,3904000000.0,4288000000.0,7458000000.0,,2025-08-12 15:23:49.647095
60,1,2021-12-31,annual,2021,4,SEK,10978000000.0,6122000000.0,,,,-1578000000.0,,-972000000.0,14667000000.0,-5221000000.0,,,,,-12133000000.0,16244000000.0,-7967000000.0,,,-4741000000.0,,-3807000000.0,,4982000000.0,3904000000.0,9446000000.0,,2025-08-12 15:23:49.647543
61,1,2025-06-30,quarterly,2025,2,SEK,4386000000.0,1751000000.0,,,,-746000000.0,,-2637000000.0,1972000000.0,-1724000000.0,,,,,-1573000000.0,813000000.0,-35000000.0,-682000000.0,,,,-6181000000.0,,9767000000.0,3927000000.0,248000000.0,,2025-08-12 15:23:49.647982
